"","Date","Count","DayNight","Game","Weekday","Area"
"367",2002-01-01,6,0,0,1,0
"368",2002-01-02,0,0,0,1,0
"369",2002-01-03,1,0,0,1,0
"370",2002-01-04,2,0,0,1,0
"371",2002-01-05,0,0,0,0,0
"372",2002-01-06,0,0,0,0,0
"373",2002-01-07,1,0,0,1,0
"374",2002-01-08,1,0,0,1,0
"375",2002-01-09,0,0,0,1,0
"376",2002-01-10,0,0,0,1,0
"377",2002-01-11,0,0,0,1,0
"378",2002-01-12,2,0,0,0,0
"379",2002-01-13,2,0,0,0,0
"380",2002-01-14,1,0,0,1,0
"381",2002-01-15,2,0,0,1,0
"382",2002-01-16,2,0,0,1,0
"383",2002-01-17,0,0,0,1,0
"384",2002-01-18,0,0,0,1,0
"385",2002-01-19,0,0,0,0,0
"386",2002-01-20,0,0,0,0,0
"387",2002-01-21,1,0,0,1,0
"388",2002-01-22,0,0,0,1,0
"389",2002-01-23,0,0,0,1,0
"390",2002-01-24,0,0,0,1,0
"391",2002-01-25,2,0,0,1,0
"392",2002-01-26,0,0,0,0,0
"393",2002-01-27,0,0,0,0,0
"394",2002-01-28,0,0,0,1,0
"395",2002-01-29,1,0,0,1,0
"396",2002-01-30,1,0,0,1,0
"397",2002-01-31,1,0,0,1,0
"398",2002-02-01,1,0,0,1,0
"399",2002-02-02,2,0,0,0,0
"400",2002-02-03,0,0,0,0,0
"401",2002-02-04,0,0,0,1,0
"402",2002-02-05,1,0,0,1,0
"403",2002-02-06,3,0,0,1,0
"404",2002-02-07,0,0,0,1,0
"405",2002-02-08,0,0,0,1,0
"406",2002-02-09,0,0,0,0,0
"407",2002-02-10,0,0,0,0,0
"408",2002-02-11,1,0,0,1,0
"409",2002-02-12,1,0,0,1,0
"410",2002-02-13,0,0,0,1,0
"411",2002-02-14,1,0,0,1,0
"412",2002-02-15,1,0,0,1,0
"413",2002-02-16,1,0,0,0,0
"414",2002-02-17,3,0,0,0,0
"415",2002-02-18,2,0,0,1,0
"416",2002-02-19,1,0,0,1,0
"417",2002-02-20,0,0,0,1,0
"418",2002-02-21,0,0,0,1,0
"419",2002-02-22,1,0,0,1,0
"420",2002-02-23,0,0,0,0,0
"421",2002-02-24,2,0,0,0,0
"422",2002-02-25,0,0,0,1,0
"423",2002-02-26,0,0,0,1,0
"424",2002-02-27,1,0,0,1,0
"425",2002-02-28,2,0,0,1,0
"426",2002-03-01,6,0,0,1,0
"427",2002-03-02,2,0,0,0,0
"428",2002-03-03,0,0,0,0,0
"429",2002-03-04,0,0,0,1,0
"430",2002-03-05,0,0,0,1,0
"431",2002-03-06,1,0,0,1,0
"432",2002-03-07,0,0,0,1,0
"433",2002-03-08,0,0,0,1,0
"434",2002-03-09,0,0,0,0,0
"435",2002-03-10,1,0,0,0,0
"436",2002-03-11,0,0,0,1,0
"437",2002-03-12,1,0,0,1,0
"438",2002-03-13,0,0,0,1,0
"439",2002-03-14,3,0,0,1,0
"440",2002-03-15,2,0,0,1,0
"441",2002-03-16,2,0,0,0,0
"442",2002-03-17,1,0,0,0,0
"443",2002-03-18,1,0,0,1,0
"444",2002-03-19,0,0,0,1,0
"445",2002-03-20,0,0,0,1,0
"446",2002-03-21,0,0,0,1,0
"447",2002-03-22,1,0,0,1,0
"448",2002-03-23,0,0,0,0,0
"449",2002-03-24,2,0,0,0,0
"450",2002-03-25,2,0,0,1,0
"451",2002-03-26,1,0,0,1,0
"452",2002-03-27,1,0,0,1,0
"453",2002-03-28,3,0,0,1,0
"454",2002-03-29,0,0,0,1,0
"455",2002-03-30,1,0,0,0,0
"456",2002-03-31,2,0,0,0,0
"457",2002-04-01,2,0,0,1,0
"458",2002-04-02,3,0,0,1,0
"459",2002-04-03,5,0,0,1,0
"460",2002-04-04,3,0,0,1,0
"461",2002-04-05,1,0,0,1,0
"462",2002-04-06,1,0,0,0,0
"463",2002-04-07,4,0,0,0,0
"464",2002-04-08,4,0,0,1,0
"465",2002-04-09,4,0,0,1,0
"466",2002-04-10,4,0,0,1,0
"467",2002-04-11,4,0,0,1,0
"468",2002-04-12,3,0,1,1,0
"469",2002-04-13,0,0,1,0,0
"470",2002-04-14,4,0,1,0,0
"471",2002-04-15,6,0,1,1,0
"472",2002-04-16,2,0,1,1,0
"473",2002-04-17,6,0,1,1,0
"474",2002-04-18,5,0,1,1,0
"475",2002-04-19,18,0,1,1,0
"476",2002-04-20,4,0,1,0,0
"477",2002-04-21,10,0,1,0,0
